Model,Accuracy,Balanced Accuracy,Macro-F1,Healthy Recall,Pre-diabetes Recall,Diabetes Recall,Setting
Neural Network (MLP),0.836959949542731,0.44656285820532676,0.44783383502933316,0.9249198661706558,0.0,0.41476870844532465,"hidden=(32,), early stopping"
Random Forest,0.6916982024597919,0.5088908806254665,0.431493699590866,0.6985564212348798,0.10043196544276457,0.7276842551987551,"80 trees, max_depth=12, class_weight=balanced_subsample"
Logistic Regression,0.6473904131188899,0.5279336201177447,0.42919654247757216,0.6627126178610702,0.32397408207343414,0.5971141604187297,"C=0.5, class_weight=balanced"
XGBoost,0.6368259224219489,0.5169212037996253,0.4210004999736518,0.6419597108163122,0.2526997840172786,0.656104116565285,"30 trees, max_depth=3, lr=0.10, sample_weight=balanced"
