,precision,recall,f1-score,support
Healthy,0.946399137821732,0.6985564212348798,0.8038067547012344,42741.0
Prediabetes,0.029750479846449136,0.10043196544276457,0.04590325765054294,926.0
Diabetes,0.32025899638899263,0.7276842551987551,0.4447710864208205,7069.0
accuracy,0.6916982024597919,0.6916982024597919,0.6916982024597919,0.6916982024597919
macro avg,0.4321362046857246,0.5088908806254665,0.431493699590866,50736.0
weighted avg,0.8424295439027564,0.6916982024597919,0.7399498921708184,50736.0
