,precision,recall,f1-score,support
Healthy,0.8915048598425908,0.9249198661706558,0.9079050112535023,42741.0
Prediabetes,0.0,0.0,0.0,926.0
Diabetes,0.4586266228687627,0.41476870844532465,0.4355964938344971,7069.0
accuracy,0.836959949542731,0.836959949542731,0.836959949542731,0.836959949542731
macro avg,0.4500438275704512,0.44656285820532676,0.44783383502933316,50736.0
weighted avg,0.8149211765135497,0.836959949542731,0.8255282186396642,50736.0
