,precision,recall,f1-score,support
Healthy,0.9526091032184147,0.6419597108163122,0.7670244884267025,42741.0
Prediabetes,0.028810637773947302,0.2526997840172786,0.05172413793103448,926.0
Diabetes,0.33581927449134746,0.656104116565285,0.4442528735632184,7069.0
accuracy,0.6368259224219489,0.6368259224219489,0.6368259224219489,0.6368259224219489
macro avg,0.43907967182790314,0.5169212037996253,0.4210004999736518,50736.0
weighted avg,0.8498117861600495,0.6368259224219489,0.7089978274753276,50736.0
