,precision,recall,f1-score,support
Healthy,0.9517489331675683,0.6627126178610702,0.78135775564812,42741.0
Prediabetes,0.032811987312698236,0.32397408207343414,0.05958883702453074,926.0
Diabetes,0.3567444219066937,0.5971141604187297,0.4466430347600656,7069.0
accuracy,0.6473904131188899,0.6473904131188899,0.6473904131188899,0.6473904131188899
macro avg,0.4471017807956534,0.5279336201177447,0.42919654247757216,50736.0
weighted avg,0.8520756735104269,0.6473904131188899,0.7215490127317863,50736.0
